id,Token,Review,Answer,Predicted
803_10.txt,""" good avid happy possible good same dynamic worst""","The movie was very good. I'm an avid mystery fan and I usually figure out who is going to be killed and who did the killing. While I did figure out who was going to be killed I didn't figure out who did it. I wasn't happy with the portrayal of the Gerda character but given the year the movie was supposed to take place it is possible the woman would have been that 'cloying'. Please know that while these Poirot movies are good, they just don't have the same dynamic to them as the series does because they don't have Japp, Ms. Lemon and especially Hastings! David Suchet is definitely Poirot. I have seen every actor who's played him. The worst was Peter Ustinov!",1,0
6133_8.txt,""" few much complete interesting least sure""","I stumbled upon this movie by chance. I was traveling a few years back and this movie was on some channel on cable at the hotel late one night. Not much else on and figured I watch it for about 20 to 30 minutes until I decided to go to bed. Needless to say, I stayed up and watched the complete movie. The plot was very interesting and does make you wonder if there had not been SS who did this or at least thought of doing it. I have been looking all over for this movie. I even sent and email to the production company, but the weren't sure that it would ever make it to DVD, but said there was always hope. If anyone finds this movie drop a note here where you found it, as I'd sure like to get a copy some day.",1,0
903_10.txt,""" awesome great acceptable martial < worst least right bad same same <""","This is a well done action movie. There are plenty of fight scenes, the acting is convincing (for this genre) and RS1 is awesome. I don't know why people feel compelled to trash RS1, I thought his effects were executed very nicely and his design looked great. The plot was acceptable for a martial arts movie.<br /><br />Having said that, I must tell you Richard Sun is one of the worst actors from Hong Kong I have ever watched. At least RS1 had the right idea by killing him. Now, for all of you who thought Sam Lee (Alien) was a bad actor...he wasn't meant to be taken seriously! I have just had the pleasure of watching Gen-X Cops (prequel) and Sam Lee played the same character the same way!<br /><br />Now, please, all of you guys who watch highly reviewed Oscar winners: DO NOT JUDGE THIS IS A THINKING MAN'S MOVIE! IT ISN'T SUPPOSED TO REQUIRE THOUGHT! Just meant to be enjoyed, that's all. I hope they make another soon.",1,0
5509_9.txt,""" bad night. whole third dead""","I don't understand where these bad comments are coming from. The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.<br /><br />The part that gets you is that this could all happen. Not to the extent perceived in the movie, but the whole idea is reality. This movie took that reality and twisted it into a Dee Snider nightmare.<br /><br />Three thumbs up (the third one is from the dead body in my freezer).",1,0
7831_8.txt,""" hilarious horrible ancient poisonous deranged shaman delicious eye-rolling deadly absurd ridiculous wretched campy cruddy unfrightening common would-be scary nonexistent total obvious over-the-top preposterous downright jaw-dropping no-name nice tasty gratuitous gross grotesque make-up token cutesy little girl large hollow absolute""","Ladies and gentlemen, we've really got ourselves a winner here. Actually we don't, but boy is this film an often hilarious and always entertaining horrible hoot of a stinker. Poor Alma (fetching Julia Ruiz) is suffering from an ancient Mayan curse that causes lethal poisonous snakes to grow inside of her body. Alma and her deranged shaman husband Brujo (Alby Castro, who feverishly overacts with delicious eye-rolling intensity) stowaway on a train that's bound for Los Angeles. Naturally, a bunch of deadly vipers get lose so they can terrorize the motley assortment of passengers. The Mallachi Brothers, working from an absurd script by Eric Fosberg, treat the ridiculous premise straight, thereby creating a wonderfully wretched piece of deliriously campy cheese. The cruddy CGI effects, the pathetically unfrightening common variety Gardner snakes (there's would-be scary rattlesnake noises added to the soundtrack to imbue them with a faint sense of otherwise nonexistent menace), the plodding pace, the total dearth of any tension or momentum, the obvious rickety stage-bound train set, and especially the simply astonishing ""you gotta be kiddin' me!"" over-the-top preposterous ending are all downright awesome in their very jaw-dropping awfulness. Better still, we also got game (if lame) acting from a no-name cast, a nice smidgen of tasty gratuitous female nudity, a funky hum'n'shiver score, and plenty of extremely gross and grotesque make-up f/x. Bonus points for the fact that the token irritatingly cutesy little girl gets eaten by a large reptile and for the stoner engineer who gets caught smoking crack out of a hollow light bulb (!?). An absolute gut-buster of a kitsch howler.",1,0
7357_10.txt,""" shocked better last much Last terrible Urban""","I loved this movie! I'm shocked and disappointed that it never made it to the theaters. Every story was better than the last..much better than the much hyped ""Scream"" series and ""I Know What You Did Last Summer""and way better than the terrible ""Urban Legend"". I'd recommend this film to every horror fan.",1,0
6275_9.txt,""" first original much B-Movie ludicrous terrible hammy special veritable < invisible fx unconvincing giant infamous < huge atomic alive primitive < illogical overall""","Miles O'Keeffe once again assumes the role of the mighty Ator in this the first sequel to the original film.<br /><br />What can I say? - This pretty much represents B-Movie Nirvana! <br /><br />The plot is ludicrous, the script is terrible, the acting is hammy throughout, the special effects....well let's not even go there! - all in all this movie is a veritable delight! <br /><br />Highlights of the film include Ator and Thong (his mute companion, not his undergarments) being attacked by invisible assailants in a cave (certainly saved on the fx budget there!), Ator battling what has to be the most unconvincing giant snake ever committed to celluloid, and of course, the infamous hangliding scene! <br /><br />There's one question I have though......at the end of the movie we see a huge atomic explosion when Ator supposedly destroys the Geometric Nucleus (as the narrator tells us)......how in the hell did Ator destroy it and manage get out alive?! Did he fashion some form of primitive timer/detonator or something? <br /><br />Oh well, such an illogical ending really only adds to the movies overall charm - they just don't make them like this anymore!",1,0
10581_10.txt,""" real skate trying-to-be funny weak bad interested bad boring worst i Overall certain different different cheap spare time. main funny stupid terrible occasional nude i many""","Haggard: The Movie is the real life story of Ryan Dunn, and his girlfriend who cheated on him, also with the help from his two friend, 1. A skate boarder who lives for nothing, and, 2. A trying-to-be funny scientist (which doesn't really work) played by Bam Margera and Brandom Dicamillo.<br /><br />The film Haggard The Movie also has a lot of the characters from Jackass, etc, but to say it was written by Bam Margera and Co. this is a very weak attempt, seems to me like it was written when he was bored, or as a project with they did not pay a lot of attention to.<br /><br />The films also stars Bam's girlfriend Jennifer Rivell, who plays Glauren, Ryan's girlfriend who basically cheated on him, again very bad acting by Jennifer, another actor that some people may be interested in is Steve a.k.a Hellboy, played by RakeYohn, which his character does not seem to be with the story, again bad acting, also this character does not really have a lot of lines in this film which basically makes it very boring. but worst of all, is Raab's character, the voice sound like a smoker who basically has throat cancer, also i think he could have been improved! Overall i think the characters in this film aren't with the story, like in one scene, it would be on one certain character, a minute later, a different scene, different character.<br /><br />To say that this is supposed to be a film, sort of a documentary, its not played by the characters as a documentary, the acting makes you think that its a cheap attempt at making a film with your spare time.<br /><br />Towards the middle of the film we start to lose focus on the main character Ryan Dunn, although a lot of the attention is on Bam and Brandon.<br /><br />In conclusion this film is OK, if you laugh at things that aren't very funny, stupid stunts, terrible acting and the occasional nude scene!, Also i think there there are too many scenes of just no talking and just music! 7/10",1,0
3797_8.txt,""" innumerable stupid many other least cursory notable co-writing same absurd many memorable wacky Sure broad go-go own absurd new""","In this era when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly neglected. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",1,0
7139_10.txt,""" several bad weak""","I have seen ""Chasing the Dragon"" several times and have enjoyed it each time. The acting was superb. This movie really makes you realize how one bad choice at a weak moment can change your life.",1,0
