id,correct_rating,original_review
803_10.txt,1, The movie was very good . I'm an avid mystery fan and usually figure out who is going to be killed and who did the killing . While did figure out who was going to be killed did n't figure out who did it . was n't happy with the portrayal of the Gerda character but given the year the movie was supposed to take place it is possible the woman would have been that Please know that while these Poirot movies are good they just do n't have the same dynamic to them as the series does because they do n't have Japp Ms . Lemon and especially Hastings ! David Suchet is definitely Poirot . have seen every actor who's played him . The worst was Peter Ustinov !
6133_8.txt,1, stumbled upon this movie by chance . was traveling a few years back and this movie was on some channel on cable at the hotel late one night . Not much else on and figured watch it for about to minutes until decided to go to bed . Needless to say stayed up and watched the complete movie . The plot was very interesting and does make you wonder if there had not been SS who did this or at least thought of doing it . have been looking all over for this movie . even sent and email to the production company but the were n't sure that it would ever make it to DVD but said there was always hope . If anyone finds this movie drop a note here where you found it as I'd sure like to get a copy some day .
903_10.txt,1, This is a well done action movie . There are plenty of fight scenes the acting is convincing this genre and RS is awesome . do n't know why people feel compelled to trash RS thought his effects were executed very nicely and his design looked great . The plot was acceptable for a martial arts movie . Having said that must tell you Richard Sun is one of the worst actors from Hong Kong have ever watched . At least RS had the right idea by killing him . Now for all of you who thought Sam Lee was a bad actor . was n't meant to be taken seriously ! have just had the pleasure of watching Gen Cops and Sam Lee played the same character the same way ! Now please all of you guys who watch highly reviewed Oscar winners DO NOT JUDGE THIS IS THINKING MAN'S MOVIE ! IT IS N'T SUPPOSED TO REQUIRE THOUGHT ! Just meant to be enjoyed that's all . hope they make another soon .
6644_10.txt,1, gruelling watch but one of Bergman's finest films . Interesting to compare this with The Hour of the Wolf as both feature the same lead actors as artists an artist and his wife who have taken sanctuary on an island . In the earlier film it's largely inner demons that lead to von Sydows disintegrating personality least that's how read it whereas here it's very much circumstances beyond his control . Much has been written about the unsympathetic central characters particularly von Sydow's . For me there are flashes of a good flawed man early in the film but one who copes badly with adversity . The flaws become all that is left as his humanity is gradually eroded by one horror after another . watched Passion and von Sydow on their island again soon after this and was amazed to recognise many of the same locations . And then there's a dream sequence .
9028_7.txt,1, This is not a serious film and does not pretend to be but it is not as bad as some of its reviews it's title and the first ten minutes lead you to expect . The plot is very silly but this adds to the light fun and enthusiasm which runs through the film . The characters are played sympathetically and while they do engage in typical teenage angst they generally avoid the sickly sentimentality usually to be found in this film genre . Unusually set in London sympathetic to geeks this is well worth a watch if it happens to be on if you want some tongue silliness and do n't mind suspending your disbelief .
662_9.txt,1, OK so the following review is more of a synopsis more so than really containing any spoilers but better safe than sorry so as to avoid being blacklisted right ? Right ! Consider yourselves officially warned and read on . In this parody to the greatest time in horror movie history the a group of stupid teens are getting together to host a seance in the house of the notorious Murder McGee who butchered his entire family a few years back and buried them in the back yard . As I'm sure you can guess things go from bad to worse faster than you can say Where's the beef ? and in typical horror movie fashion the deaths are bloody the dialogue is cheesy and beautiful women are taking off their clothes every chance they get . Good times . No clique or horror movie clich characterizations are left unrepresented here . In fact no stone was left unturned at all we have the cool hero his innocent girlfriend the Goth chick the tough thug John Bender the hot blonde who keeps losing her shirt the shy dork in love with the hot blonde that keeps losing her shirt a couple of gorgeous half lesbians and two big geeks . As you can plainly see the cast is pretty big . Usually larger casts are where things can fall apart quickly with one or two sour apples buggering up the whole barrel . Not in this case though . Not a single cast member left me disappointed . The acting was very well done . Everyone from the cool hero in his Thriller jacket played by Jovan Meredith to the grooovy Goth chick played by Renee Dorian to Geeks One Two played by Cory Assink Jonathan Brett they all played it straight brought their and knocked it out of the park . If you're a fan of Gary Wyatt in Weird Science you'll immediately fall in love with the geeks . Director Jeff Smith is a guy to watch for in the future trust me on this . If this is what he can do with a low budget there are nothing but good things ahead for him when he gets more money for future projects . The characters were dead on the atmosphere was perfect the laughs were huge the blood flowed and squirted and sprayed beautifully it was just like watching a horror movie from the Call this one THE BREAKFAST CLUB meets NIGHT OF THE DEMONS'' The tag line says it all and says it honestly EXCESSIVE VIOLENCE GRATUITOUS NUDITY ZERO BUDGET'' no false advertising here folks ! As fans of this genre we have to look to the indies and support these hard folks who are busting their humps out there bringing us original tales lest we forever get stuck in a world filled with big studio watered PG or pointless remakes like The Hitcher . No thank you no more of that for me . In closing honestly have to say that STUPID TEENAGERS MUST DIE ! is by far one of the best indie flicks I've gotten the pleasure of watching this year . It's a bloody good time and holds up on repeat viewings . From the dialogue to the characters to the wardrobe . the closing love theme over the end credits if that does n't bring back fits of laughter recalling mid power ballads by REO Speedwagon over R's on every word starting with the letter then I'll eat my DVD right now line is if you're a fan of horror or horror in general no more hesitation this flick deserves to be in your collection !
7795_10.txt,1, Rajkumar Santoshi tries his hands at comedy and succeeds . One of the few good movies that involves Salman Khan . very funny movie from start to finish . All the characters contribute to the movie and believe me there are a lot of them . Aamir Khan Salman Khan Raveena Tandon Karishma Kapoor Paresh Rawal Viju Khote Jagdip Deven Verma Shakti Kapoor Harish Patel Tiku Talsania and more . The direction editing sound are not up to par but that still does not matter because the actors more than make up for that part .
9591_10.txt,1, looks like it's gon na cost you a whopping to buy a copy DVD or Video format ITV direct . Ouch . Sorry about this but IMDB wo n't let me submit this comment unless it has at least lines so . blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblah blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblah blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblah blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblah blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblah blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblah blahblah
3928_7.txt,1, do not think that this movie deserves the low rating that most will give it . It's one of the best teenager'' horror films I've ever seen and that's saying a lot . Nothing is left without an explanation to back it up the characters and plot break countless horror movie stereotypes and it has got nothing to do with some other horrible pieces we've been submitted to lately . clear example is the mindless Saint Ange'' The first minutes might be downright boring with the exception of the beginning although some minor light mistakes can be easily spotted . After the arrival to the village though the horror different twisted kind of horror begins . With the plot and the details goofs are minor the characters are this movie's strongest point given that so many clich are broken in it . For example the two main male characters Nick and Wade are not by any means the idiotic types we're used to although Dalton might fit better in this stereotype not is he the only one to pay for this lack of consciousness . Some scenes are truly satisfyingly horrible making up for tense moments scattered around all the film . And in the end and although everything is decorously explained it's easy to see that things wo n't go so easy to the surviving characters . The only errors can see and which do not imply continuity Carly not finding her own cut finger in the unconscious Bo's pockets is the illumination which is somehow annoying during the first boring minutes . Although plot and effects everything is drastically and cruelly twisted with the arrival of the main characters to Ambrosia that little village in the midst of nothing so I'll give it that . It's been pretty much argued that about of the movie is illogical How can two people build an entire house of wax ? Where do they get all the wax from ? These would n't be uprising questions if people would have paid more attention to the movie . The Sinclair brothers did not build the House of Wax their mother worked making actual wax figures and they were exhibited at the museum . And the scenario where Paris Hilton's unfortunate character meets her untimely death is the answer to the second question what is with all the personal objects phones cars clothes of the dead people ? Using their third brother as a connection with the exterior it's pretty much arguable that the Sinclair twins should obtain the money necessary to buy the wax in a WWII fashion . So that aside think the movie deserves a lot more than it gets and nobody should lose the chance to watch it . So go see the House of Wax . Right now .
5509_9.txt,1, do n't understand where these bad comments are coming from . The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night . The part that gets you is that this could all happen . Not to the extent perceived in the movie but the whole idea is reality . This movie took that reality and twisted it into a Dee Snider nightmare . Three thumbs up third one is from the dead body in my freezer
8423_10.txt,1, know it was supposed to be a long walk but really ! The costumes were a bit yuk but still . it was the suppose ! It was a bit long and dull so give me the newer version any day !
